CpGmarker,CoefficientTraining,CoefficientTrainingShrunk,varByCpG,minByCpG,maxByCpG,medianByCpG,medianByCpGYoung,medianByCpGOld,Gene_ID,GenomeBuild,Chr,MapInfo,SourceVersion,TSS_Coordinate,Gene_Strand,Symbol,Synonym,Accession,GID,Annotation,Product,Marginal Age Relationship,chr.coord_hg19,H3K27ac,H3K4me3,H3K36me3,H3K27me3,H3K9ac,H3K4me1,H3K9me3,RNF2,EZH2,RNA,Replication_timing,LaminB1,Gene_body,CGI,Shore,Shelf,ChrHMM_state,ChrHMM_state_reann
cg01234063,-0.040535924,NA,0.0029,0,0.72,0.058,0.065,0.053,6484,36,11,125731217,36.1,125731306,+,ST3GAL4,STZ; SAT3; CGS23; SIAT4; NANTA3; SIAT4C; FLJ11867; ST3GalIV; ST3Gal IV;,NM_006278.1,GI:5454057,###############################################################################################################################################################################################################################################################,ST3 beta-galactoside alpha-2;3-sialyltransferase 4,negative,chr11:126226007,-0.266087354707587,0.596179880344273,0.25831801913334,-0.260822901554417,0.13390712931008,-0.0869791885414285,0.251882244044092,-0.0278608236226962,-0.53483437036916,-0.365341287134287,65.7971115112305,0.493517133428408,Yes,Yes,No,No,3,Promoter
cg01262913,-0.033581152,NA,0.02,0,0.94,0.094,0.096,0.093,257203,36,21,37502356,36.1,37502674,+,DSCR9,,NM_148675.2,GI:45433549,go_component: cellular component unknown; go_function: molecular function unknown; go_process: biological process unknown,hypothetical protein LOC257203,negative,chr21:38580486,-0.403020450793667,-0.787682859850061,-0.283491704727264,-0.191818733489657,-0.58437491795355,0.0503949429428377,-0.670063451760467,0.419932473495294,-0.461899806856825,-0.428562946327597,66.1082905034472,1.31437034961258,No,No,No,No,2,Promoter
cg01353448,0.238560451,0.235852029,0.021,0.0018,0.94,0.53,0.47,0.57,10842,36,7,31693437,36.1,31693372,+,C7orf16,GSBS;,NM_006658.2,GI:31542288,###############################################################################################################################################################################################################################################################,G-substrate,positive,chr7:31726912,-0.73286025886978,-0.665813579669522,0.441550447420691,0.0880237438121374,-0.892428674151487,-0.746629455617397,-0.00872826841803019,-0.775159419260266,-0.352240378948546,-0.333308351183731,35.396541595459,1.38851432179474,Yes,No,No,No,25,Quiescent/low
cg01407797,-0.379166543,-0.141060864,0.0084,0,0.93,0.078,0.092,0.07,150275,36,22,27498514,36.1,27498707,+,FLJ33814,dJ366L4.1;,NM_173510.1,GI:27735132,synonym: dJ366L4.1,hypothetical protein LOC150275,negative,chr22:29168514,-0.296052867920115,-0.457709790606149,-0.461703302988988,-0.626459943752807,-0.702969791678999,-0.303160229100958,-0.51197317916758,-0.155765351038027,0.277864757535794,-0.147976624778755,78.2843815905792,0.413607734328216,No,No,Yes,No,2,Promoter
cg01459453,-0.345952077,-0.592415753,0.012,0.13,0.97,0.77,0.81,0.72,6403,36,1,167865836,36.1,167866031,-,SELP,CD62; GRMP; PSEL; CD62P; GMP140; PADGEM; FLJ45155;,NM_003005.2,GI:6031196,###############################################################################################################################################################################################################################################################,selectin P precursor,negative,chr1:169599212,-0.642108983581033,-0.742068543025367,0.150005369032625,-0.549741765914068,-0.918462431292781,-0.325798356991868,-0.856422622123129,-0.488066373338377,-0.474989456161077,0.347832281492932,33.6176834106445,0.0479749908074924,Yes,No,No,No,25,Quiescent/low
cg01485645,-0.025753328,NA,0.0014,0.039,0.51,0.13,0.12,0.13,4302,36,17,34115725,36.1,34115401,+,MLLT6,AF17; FLJ23480;,NM_005937.2,GI:57222567,###############################################################################################################################################################################################################################################################,myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog; Drosophila); translocated to; 6,negative,chr17:36862199,0.372407370312764,0.460911302464818,-0.544164670506959,-0.412958555095688,0.423023726036267,0.0845418457650617,-0.3607329052607,-0.0293638834386091,-0.288589202823705,-0.16270864854573,81.1899032592773,2.18714890371942,Yes,No,Yes,No,3,Promoter
cg01511567,-0.686111875,-1.864349749,0.0079,0.022,0.77,0.14,0.17,0.12,6749,36,11,56860207,36.1,56859927,-,SSRP1,FACT; T160;,NM_003146.2,GI:28416943,###############################################################################################################################################################################################################################################################,structure specific recognition protein 1,negative,chr11:57103631,0.539054887822635,-0.469853158960971,-0.4112163372735,-0.528707868247229,0.0468083008972101,-0.326799516632828,-0.399335779948961,0.490430600204283,-0.411030087344512,-0.429456221072508,67.9407896198834,1.17808438120621,No,No,Yes,No,3,Promoter
cg01560871,-0.036910708,NA,0.0099,0,0.97,0.81,0.84,0.75,219793,36,10,72215430,36.1,72215163,-,C10orf27,spatial; FLJ32820;,NM_152710.1,GI:22749412,synonyms: spatial; FLJ32820,chromosome 10 open reading frame 27,negative,chr10:72545424,-0.592455337134388,-0.0514336465914061,-0.318689205248137,-0.0488265574297978,-0.62738319520523,-0.33114283203479,-0.249748051840214,-0.832634140173163,-0.701484252414219,-0.419642557742483,52.0936126994373,0.0732019886055431,No,No,No,No,17,Weak enhancer
cg01570885,-0.031258306,-0.092113005,0.0076,0.004,0.95,0.45,0.47,0.44,26240,36,6,3794271,36.1,3794631,+,FAM50B,X5L; D6S2654E;,NM_012135.1,GI:6912325,go_component: nucleus,family with sequence similarity 50; member B,negative,chr6:3849272,-0.508466308592484,-0.391603285874677,0.681913828658837,-0.648124433335055,-0.693685920323785,-0.797435637590142,0.526842656706604,-0.486945090653321,-0.472346311145596,-0.439261680600165,81.5661087036133,0.481857557539413,No,Yes,No,No,1,Active TSS
cg01584473,0.088628396,NA,0.0058,0.0042,0.96,0.82,0.83,0.82,140453,36,7,100450087,36.1,100450084,+,MUC17,MUC3;,NM_001004430.1,GI:52138722,small intestinal mucin MUC3; membrane mucin MUC17; secreted mucin MUC17; go_component: cellular component unknown; go_function: extracellular matrix constituent; lubricant activity; go_process: biological process unknown,mucin 17,positive,chr7:100663367,-0.776605070312444,-0.789977111956801,0.503776895627003,-0.0994602389933839,-0.836372671323089,-0.804582269541128,-0.313484221655572,-0.68894693579183,-0.600730031085389,-0.439261680600165,79.0654133822853,0.759379294454601,Yes,No,No,No,25,Quiescent/low
cg01644850,0.159948713,NA,0.002,0,0.65,0.041,0.036,0.044,90233,36,19,62885043,36.1,62885217,+,ZNF551,MGC52307;,NM_138347.2,GI:34147525,KOX 23 protein (56 AA); go_component: nucleus; go_function: DNA binding; go_function: zinc ion binding; go_function: metal ion binding; go_process: transcription; go_process: regulation of transcription; DNA-dependent,zinc finger protein 551,positive,chr19:58193231,-0.512470327403744,0.424665727042318,-0.324941043984904,-0.683077151877845,-0.0459828985858388,-0.333741643603967,1.32700987942605,0.644158104031875,-0.528950180368421,0.217594647017622,46.5752487182617,0.480647077920004,No,No,Yes,No,1,Active TSS
cg01656216,0.042805528,NA,0.023,0.0033,1,0.71,0.68,0.72,220929,36,10,31313716,36.1,31313361,-,ZNF438,FLJ32761; MGC126671; bA330O11.1; RP11-330O11.1;,NM_182755.1,GI:33300650,ZNF438 transcript variant 2; go_component: nucleus; go_function: zinc ion binding; go_function: metal ion binding; go_function: nucleic acid binding,ZNF438 transcript variant 3,positive,chr10:31273710,-0.908559245064269,-1.06809570726967,-0.359289706848752,-0.73401248277192,-0.850760322912947,-0.741881231832604,-0.565844019909237,-0.244827986816704,-0.171245794573197,-0.365791765200831,79.7825775146484,-0.843723513992968,Yes,No,No,No,19,DNase
cg01820374,-0.271122363,-0.211852245,0.039,0.074,0.95,0.48,0.56,0.34,3902,36,12,6752344,36.1,6751931,+,LAG3,CD223;,NM_002286.4,GI:15718681,go_component: integral to plasma membrane; go_function: antigen binding,lymphocyte-activation protein 3 precursor,negative,chr12:6882083,-0.850200497536875,-0.589697716737632,-0.521356957643318,0.433176617371457,-0.564335616291348,-0.196252488267691,-0.685311531964461,-0.773018437380688,0.926672739808191,-0.393226120933337,83.8590545654297,1.86440014493856,Yes,No,Yes,No,23,Bivalent promoter
cg01873645,-0.604056375,NA,0.00017,0,0.77,0.036,0.036,0.037,138241,36,9,73716469,36.1,73716243,+,C9orf85,MGC61599; RP11-346E17.2;,NM_182505.3,GI:38327628,isoform a is encoded by transcript variant 1,hypothetical protein LOC138241 isoform a,positive,chr9:74526649,0.350171601393858,0.481797846191999,-0.321366986488299,-0.611101808232784,0.726761947850742,0.420673391791824,-0.415401602530274,0.485303187516564,-0.499244275532255,-0.118714980219009,34.8394388403381,1.61014871798474,Yes,Yes,No,No,3,Promoter
cg01968178,1.169245865,0.289320053,0.005,0.012,0.99,0.065,0.051,0.082,65055,36,2,86418549,36.1,86418288,-,REEP1,C2orf23; FLJ13110;,NM_022912.1,GI:12597656,go_component: membrane; go_component: integral to membrane,receptor expression enhancing protein 1,positive,chr2:86565038,-0.902744644928867,-0.391798304312722,-0.48847656997438,1.69971428939349,-0.611427049661945,-0.168924768988785,0.476730497444128,-0.891820409854833,0.542104353478504,-0.439261680600165,50.021800994873,1.14574129462843,Yes,Yes,No,No,23,Bivalent promoter
cg02047577,-0.658400181,NA,6e-05,0,0.15,0.0098,0.011,0.0093,54963,36,20,62058146,36.1,62058212,-,UCKL1,URKL1;,NM_017859.2,GI:57863311,uridine kinase-like 1; go_function: ATP binding; go_function: kinase activity; go_function: nucleotide binding; go_function: transferase activity; go_function: uridine kinase activity; go_process: biosynthesis,uridine-cytidine kinase 1-like 1,negative,chr20:62587702,-0.0909331777441757,0.281161948924106,-0.0841918500955331,-0.705066673139054,1.61975700880618,0.283023373825268,-0.359724988532721,0.535590851294556,-0.420320908938923,0.258612053568785,79.5386810302734,1.44452621369278,Yes,Yes,No,No,3,Promoter
cg02071305,-0.048429497,NA,0.0082,0.002,0.97,0.22,0.26,0.2,57617,36,15,38973265,36.1,38973920,+,VPS18,KIAA1475;,NM_020857.2,GI:42544225,go_component: membrane; go_function: zinc ion binding; go_function: metal ion binding; go_process: protein transport,vacuolar protein sorting 18,negative,chr15:41185973,-0.400642729413486,-0.655528170381113,-0.374744541490042,-0.390446785797265,-0.539190941098157,0.432990533754916,0.138706163138522,-0.449070795005796,-0.501530216362054,-0.400166480002088,84.6526565551758,1.931752032537,No,No,Yes,No,2,Promoter
cg02085507,0.006127551,NA,0.031,0,0.96,0.49,0.47,0.5,9322,36,19,6690192,36.1,6690707,+,TRIP10,STP; CIP4; HSTP; STOT;,NM_004240.2,GI:42516568,thyroid receptor interacting protein 10; salt tolerator; CDC42-interacting protein 4; go_component: cytoplasm; go_function: protein binding; go_process: signal transduction; go_process: actin cytoskeleton organization and biogenesis,thyroid hormone receptor interactor 10,positive,chr19:6739192,-0.307762602763096,-0.122119332586056,-0.0748109714573648,-0.713671351958758,0.0892109496997994,1.88347856634067,-0.145121992064217,0.148122152264266,-0.368824865129404,-0.380953390499307,40.5048027038574,1.81822466670116,Yes,No,Yes,No,2,Promoter
cg02154074,0.044757003,NA,0.0013,0,0.41,0.056,0.046,0.071,27429,36,2,74609742,36.1,74610040,+,HTRA2,OMI; PRSS25;,NM_013247.4,GI:73747817,###############################################################################################################################################################################################################################################################,HtrA serine peptidase 2 isoform 1 preproprotein,positive,chr2:74756234,-0.118668472555669,-0.130628476579279,0.0600791331960971,-0.660889364040596,0.292452628020076,1.15842891803847,-0.527478986723567,0.141491704103773,-0.132441025507118,2.87737951828064,82.1988372802734,1.91340150400733,Yes,Yes,No,No,3,Promoter
cg02217159,-0.086512604,-0.067976604,0.008,0.0085,0.96,0.09,0.093,0.091,202559,36,6,63054656,36.1,63054091,-,KHDRBS2,SLM1; SLM-1; MGC26664; bA535F17.1;,NM_152688.1,GI:22749380,Sam68-like mammalian protein 1; go_function: protein binding; go_function: nucleic acid binding,KH domain-containing; RNA-binding; signal transduction-associated protein 2,positive,chr6:62996697,-0.733442127722637,-0.426340827900525,0.0347939853867673,0.748698023595798,-0.768815941008311,-0.368093503968582,0.618783542161717,-1.06381317140755,0.471013166416255,-0.439261680600165,5.53523116932248,-0.0944086030191303,No,No,Yes,No,22,Poised promoter
cg02275294,-0.337498333,-0.740069387,0.0015,0,0.4,0.064,0.076,0.06,6646,36,1,177529085,36.1,177529640,+,SOAT1,ACAT; SOAT; STAT; ACACT; ACAT1; RP11-215I23.2;,NM_003101.4,GI:49533616,###############################################################################################################################################################################################################################################################,sterol O-acyltransferase (acyl-Coenzyme A: cholesterol acyltransferase) 1,negative,chr1:179262462,-0.204378894103724,-0.217583697997406,-0.218410448273023,-0.552216280153505,-0.142488045079135,0.584464338222359,0.0445670650296767,0.0294470672098642,-0.15512905196213,-0.410955988830152,67.6920099995677,0.954931723906351,No,No,Yes,No,2,Promoter
cg02331561,0.126928853,0.354782962,0.0058,0,0.92,0.024,0.02,0.028,21,36,16,2331082,36.1,2330595,-,ABCA3,ABC3; ABC-C; LBM180; MGC72201; EST111653;,NM_001089.1,GI:4501848,###############################################################################################################################################################################################################################################################,ATP-binding cassette; sub-family A member 3,positive,chr16:2391081,-0.623730867698558,-0.182820328110063,-0.0323061560808292,0.0738816692474541,-0.535734105640401,-0.468387113561495,1.29783674362099,8.4715002020002,-0.508668952659275,-0.439261680600165,80.4430236816406,1.32642172941333,No,Yes,No,No,23,Bivalent promoter
cg02332492,0.062771342,0.134285197,0.0086,0.3,0.97,0.85,0.85,0.84,733,36,9,138960499,36.1,138959534,+,C8G,C8C;,NM_000606.1,GI:4557392,###############################################################################################################################################################################################################################################################,complement component 8; gamma polypeptide,positive,chr9:139840678,-0.721305945012291,-0.57413881203594,-0.0908617718391927,-0.391981755112511,-0.544589774375244,0.0315319796377112,-0.159454447427076,-0.462362648463038,-0.60080403803449,-0.439261680600165,82.6618825669895,0.13121580242435,Yes,No,Yes,No,25,Quiescent/low
cg02335441,-0.17128537,NA,0.00095,0,0.4,0.04,0.046,0.038,28990,36,3,132228638,36.1,132228336,-,ASTE1,HT001; MGC129980;,NM_014065.2,GI:33469986,HT001 protein,hypothetical protein LOC28990,negative,chr3:130745948,0.0282773752065371,-0.244667918062974,-0.115068740273538,-0.622516237141329,-0.180025492214481,0.00977584109496193,-0.716200355297133,0.737776412985809,-0.503079378114173,-0.326399029748056,20.1578731536865,0.872461858414282,Yes,No,Yes,No,2,Promoter
cg02364642,-0.024270255,NA,0.0064,0,0.72,0.19,0.18,0.2,115557,36,12,56292025,36.1,56291485,+,GEFT,p63RhoGEF;,NM_133483.1,GI:19311007,isoform 2 is encoded by transcript variant 2; go_function: guanyl-nucleotide exchange factor activity,RAC/CDC42 exchange factor isoform 2,positive,chr12:58005758,-0.822176635505125,-0.939437075384627,-0.473835002186121,1.05583278628931,-0.940787403523333,-0.447635726258233,-0.428865437356586,-0.486041232325712,0.982173897980776,-0.439261680600165,79.6056747436523,1.52839164627289,Yes,No,Yes,No,2,Promoter
cg02388150,0.425971257,0.009137213,0.0094,0,0.92,0.18,0.16,0.21,6422,36,8,41284856,36.1,NA,-,SFRP1,FRP; FRP1; FrzA; FRP-1; SARP2;,NT_007995.14,,secreted apoptosis-related protein 2; go_process: cell differentiation; go_process: Wnt receptor signaling pathway,secreted frizzled-related protein 1,positive,chr8:41165699,-0.807127093010668,-1.02772196631326,-0.192808313219388,1.28689065514345,-0.845324544721847,-0.790783838106288,-0.0576952285906721,-0.269764646774242,-0.258032978155768,-0.429456221072508,73.1711484951866,0.681349952956216,Yes,No,Yes,No,23,Bivalent promoter
cg02479575,1.875446187,2.039720589,0.00042,0,0.35,0.029,0.023,0.037,284424,36,19,4720653,36.1,4720152,+,C19orf30,PGSF1; PGSF1a; PGSF1b;,NM_174947.2,GI:29126235,pituitary gland specific factor 1a,hypothetical protein LOC284424,positive,chr19:4769653,-0.807644593445284,-0.733472160386497,-0.306370783521536,-0.486083400995357,-0.967951465584373,-0.823981926246825,0.204469213108536,1.07297711619394,-0.268818126153131,-0.419642557742483,82.9238549896012,3.31348485219989,No,No,No,No,19,DNase
cg02489552,0.073741383,0.00110968,0.042,0.0031,0.96,0.43,0.33,0.52,126402,36,19,14982531,36.1,14982556,+,FLJ40365,,NM_173482.1,GI:27735062,,hypothetical protein LOC126402,positive,chr19:15121531,-0.835780871764088,-0.661307110757792,0.55323751990919,2.67141235710852,-0.971214939978803,-0.756689262697169,1.12819788822907,-0.895834195041827,-0.718067315478671,-0.439261680600165,65.6490447503373,0.889347088727303,Yes,No,Yes,No,24,Repressed polycomb
cg02580606,0.349274493,0.185193882,0.0094,0.046,0.98,0.86,0.85,0.86,3884,36,17,36780252,36.1,36779573,-,KRTHA3B,HA3II; Ha-3II; KRTHA3A; hHa3-II;,NM_002279.3,GI:15022816,keratin; hair; acidic;3B; hard keratin; type I; 3II; go_component: intermediate filament; go_function: structural molecule activity,type I hair keratin 3B,positive,chr17:39526726,-0.802688993524494,-1.03966226941278,-0.185487932419412,0.196983109005812,-0.84780233368671,-0.793574022464744,0.400090744555807,-0.534457993413331,-0.618180453309147,-0.439261680600165,72.7075576782227,0.695229014311389,No,No,No,No,25,Quiescent/low
cg02654291,0.140583491,NA,0.019,0.011,0.9,0.39,0.36,0.41,84267,36,9,85761834,36.1,85761721,-,C9orf64,MGC10999; RP11-575L7.5;,NM_032307.2,GI:31543143,synonyms: MGC10999; RP11-575L7.5,hypothetical protein LOC84267,positive,chr9:86572014,0.454569474924994,-0.0922689568740613,-0.0432855846020299,-0.631283142363019,-0.0696244177713985,0.75544724126492,-0.510447138772476,0.947013460411226,-0.522608760801307,-0.439261680600165,53.9561767578125,0.883008763888471,No,Yes,No,No,2,Promoter
cg02827112,0.050646083,NA,0.00079,0,0.62,0.059,0.054,0.065,56916,36,4,95348426,36.1,95348217,+,SMARCAD1,ETL1; KIAA1122; DKFZp762K2015;,NM_020159.1,GI:14149729,###############################################################################################################################################################################################################################################################,SWI/SNF-related; matrix-associated actin-dependent regulator of chromatin; subfamily a; containing DEAD/H box 1,positive,chr4:95129403,0.513292595122689,0.290482459450552,0.221494376145069,-0.457760445079847,-0.196685428570851,-0.271437386436158,0.10433482579253,0.251899059184082,-0.347307603785398,0.108723478355304,58.3887925469073,3.21716368307245,Yes,No,Yes,No,3,Promoter
cg02972551,0.47394601,NA,0.0033,0.0016,0.94,0.056,0.057,0.055,55818,36,2,86521579,36.1,86521954,+,JMJD1A,TSGA; JMJD1; KIAA0742; DKFZp686A24246; DKFZp686P07111;,NM_018433.3,GI:46358420,testis-specific protein A; zinc finger protein,jumonji domain containing 1A,positive,chr2:86668068,0.523458225725231,-0.332444212973018,-0.550237964860726,-0.720820781926976,-0.572946064520697,-0.677579644931574,0.92952482348901,7.22201137863105,0.762288366975374,-0.405030560815705,41.9049682617188,-1.00543780591086,Yes,Yes,No,No,2,Promoter
cg03019000,-0.459777041,-0.546028961,0.0094,0.027,0.95,0.76,0.77,0.74,51368,36,3,51679391,36.1,51680330,+,TEX264,SIG11; ZSIG11; FLJ13935;,NM_015926.3,GI:34147580,putative secreted protein ZSIG11; testis expressed gene 264,testis expressed sequence 264,negative,chr3:51704351,-0.489297811664017,-0.797263493581443,-0.0594812390476441,-0.628740010192669,-0.554148723004046,0.218856563604026,-0.186391021280628,-0.495885034100962,-0.471593948275216,-0.361165589343126,65.1100110746084,1.11932771332018,Yes,No,Yes,No,17,Weak enhancer
cg03103192,0.023536343,NA,0.021,0.026,0.94,0.5,0.48,0.52,132671,36,4,52612028,36.1,52612350,+,SPATA18,FLJ32906;,NM_145263.1,GI:21687118,synonym: FLJ32906,spermatogenesis associated 18 homolog,positive,chr4:52917271,-0.804246618891701,-0.496571108018256,-0.472571466682665,0.952524654958031,-0.755721749043932,-0.55698793397411,-0.25947547977495,-0.763399704124289,0.365983603833489,-0.419642557742483,33.274169921875,0.323723328316242,No,No,Yes,No,23,Bivalent promoter
cg03167275,-0.551041258,NA,0.0011,0.0015,0.61,0.082,0.072,0.089,1525,36,21,17807964,36.1,17807201,+,CXADR,CAR; HCAR;,NM_001338.3,GI:45827793,###############################################################################################################################################################################################################################################################,coxsackie virus and adenovirus receptor precursor,positive,chr21:18886093,-0.422793368190928,-0.488043261883739,-0.26347035551596,1.28494067676455,-0.493212995362859,-0.143110846197782,-0.255155043330818,1.67158648446825,1.58827545608733,-0.417447040714595,48.2187461853027,1.15446881443187,Yes,Yes,No,No,3,Promoter
cg03270204,0.013544725,NA,0.043,0.024,0.98,0.84,0.82,0.85,780,36,6,30959617,36.1,30959840,+,DDR1,CAK; DDR; NEP; PTK3; RTK6; TRKE; CD167; EDDR1; MCK10; NTRK4; PTK3A;,NM_001954.3,GI:38327631,###############################################################################################################################################################################################################################################################,discoidin domain receptor family; member 1 isoform b,positive,chr6:30851638,-0.597156116894869,-0.602558219637035,-0.147639684653023,0.257878075383866,-0.364932341902585,0.222884655229917,-0.230657286340908,-0.210884324788065,-0.0476045838641517,-0.407505280747167,81.9911617745188,1.31508890837806,Yes,No,Yes,No,2,Promoter
cg03286783,-0.854784621,-0.559727496,0.0041,0,0.98,0.06,0.06,0.059,113201,36,15,42368265,36.1,42368221,+,CASC4,H63; MGC74708;,NM_138423.2,GI:29826288,isoform a is encoded by transcript variant 1; gene associated with HER-2/neu overexpression,cancer susceptibility candidate 4 isoform a,negative,chr15:44580973,0.500025865305371,0.496148403829202,-0.011226753405504,-0.577057530034704,0.43311845746916,-0.213667425760618,-0.1816594992837,0.130270439477771,-0.15905151557514,1.30000329931014,79.9413909912109,1.44199754680584,Yes,Yes,No,No,3,Promoter
